id,value
993858,858
2000074,74
1699775,775
2325039,39
2072092,92
1527502,502
2096108,108
554187,187
1994712,712
222922,922
92022,22
1986482,482
484328,328
680531,531
2043427,427
994230,230
967561,561
2008904,904
272399,399
1360693,693
301388,388
1847977,977
128300,300
551437,437
391962,962
1485041,41
1455874,874
1173021,21
2216685,685
412457,457
1462771,771
2360112,112
2174684,684
868776,776
1100973,973
2285483,483
2200683,683
801318,318
1340725,725
2384863,863
291855,855
1673750,750
435585,585
872545,545
432182,182
516905,905
240791,791
126571,571
781543,543
1479503,503
968727,727
2164938,938
2466964,964
1118449,449
1686355,355
2299716,716
805241,241
267965,965
940861,861
534428,428
2968,968
2449557,557
2421802,802
855129,129
1252525,525
1188482,482
1090186,186
2092075,75
621713,713
251306,306
1750930,930
1002050,50
259039,39
806999,999
338813,813
1023906,906
773093,93
1836522,522
665492,492
1957659,659
514165,165
2319745,745
641783,783
2175079,79
2393462,462
1036745,745
736542,542
218304,304
2435083,83
1163198,198
1004700,700
624903,903
1962320,320
1879635,635
138462,462
502058,58
332340,340
1473126,126
2323097,97
1725947,947
1652801,801
684247,247
1303498,498
2246805,805
1069981,981
1887545,545
1950266,266
1096374,374
392697,697
2246841,841
376284,284
1906983,983
1195125,125
1400557,557
1014727,727
341419,419
1013512,512
459260,260
588526,526
2436005,5
1672233,233
2485571,571
245547,547
1968445,445
734733,733
708510,510
2210759,759
2208060,60
1324402,402
2289555,555
1074171,171
413019,19
1314154,154
837556,556
1917212,212
201812,812
249854,854
1883970,970
1661699,699
56214,214
2187668,668
284585,585
1759279,279
421680,680
1592995,995
1351193,193
1266065,65
265861,861
1472438,438
715914,914
2247265,265
1606057,57
1678668,668
1161491,491
1870288,288
1582482,482
782224,224
688156,156
2005289,289
812294,294
646566,566
172741,741
1456935,935
2191609,609
1509537,537
1773130,130
920783,783
1843688,688
2376441,441
2210347,347
128360,360
2324026,26
967889,889
601783,783
783926,926
1823751,751
2181674,674
1443599,599
1035862,862
1755307,307
1109590,590
2378868,868
2194133,133
374000,0
438804,804
1377600,600
676858,858
2319453,453
389597,597
1298089,89
451198,198
1054915,915
1290009,9
709149,149
945426,426
980492,492
1723301,301
2201475,475
2262396,396
106703,703
2142854,854
493437,437
1880638,638
1467247,247
1667225,225
2142217,217
2403152,152
1749534,534
1158593,593
956189,189
1940725,725
2437309,309
2352309,309
569257,257
115544,544
1776219,219
2056744,744
1162944,944
721563,563
1739648,648
1743511,511
2152252,252
1040578,578
436800,800
2069617,617
1742920,920
1140256,256
1150336,336
1987498,498
1282618,618
532456,456
2306231,231
2178401,401
1152943,943
2112537,537
2178176,176
1757370,370
2236603,603
1720943,943
1623424,424
312115,115
1210842,842
551661,661
299537,537
1958056,56
1136756,756
137609,609
2143877,877
329724,724
183186,186
1401598,598
555923,923
2246759,759
223716,716
77466,466
909776,776
364584,584
2385620,620
1414447,447
1151403,403
1992907,907
2452477,477
1618882,882
1323875,875
1142476,476
469173,173
177716,716
1653520,520
1172983,983
626583,583
2322240,240
227812,812
687964,964
1824084,84
842906,906
982218,218
1764055,55
2416823,823
2164332,332
1155455,455
1773234,234
1244560,560
1637154,154
1368188,188
509144,144
1489525,525
1150625,625
716721,721
1739768,768
832218,218
78278,278
858522,522
1020845,845
2210187,187
1118164,164
2466502,502
165002,2
1037786,786
2254562,562
1442855,855
1655644,644
2415994,994
2308188,188
575817,817
1717022,22
1115356,356
2157130,130
73747,747
332272,272
1374425,425
464380,380
2099658,658
1248905,905
157189,189
374948,948
670636,636
511308,308
297325,325
2370843,843
2253120,120
2196540,540
2120071,71
820633,633
2146283,283
2152581,581
1093570,570
1667999,999
952154,154
320088,88
2343240,240
2108179,179
1462478,478
176632,632
1053538,538
2261870,870
580027,27
660710,710
2073929,929
745838,838
2013203,203
1817281,281
50250,250
2456905,905
808460,460
1553623,623
1199869,869
1125024,24
945984,984
108592,592
200203,203
1098134,134
2083986,986
2396485,485
2498513,513
1443157,157
2117337,337
2093736,736
1833145,145
2084391,391
1932447,447
179259,259
1754636,636
2240760,760
1309676,676
860343,343
342641,641
2159337,337
739097,97
1504856,856
1790208,208
948847,847
1078661,661
1952515,515
1259225,225
1774937,937
311080,80
46690,690
108577,577
926400,400
552421,421
1350853,853
74428,428
96652,652
1585804,804
1504826,826
1001358,358
1270800,800
1255869,869
313725,725
1246165,165
643914,914
504319,319
848512,512
1734561,561
685640,640
1607390,390
893366,366
1360482,482
1917475,475
2102305,305
797686,686
2068846,846
255682,682
1800836,836
192768,768
1155931,931
2366474,474
2417209,209
2170182,182
1908335,335
56186,186
2336076,76
113249,249
1278282,282
964364,364
190518,518
2312751,751
334836,836
1138786,786
473498,498
1721572,572
1977311,311
676491,491
995022,22
1899794,794
628907,907
2232670,670
407823,823
2365894,894
2473411,411
886164,164
1963447,447
907185,185
1076453,453
2080562,562
1633079,79
152166,166
274102,102
1986586,586
1506638,638
802013,13
2171786,786
1025875,875
1874,874
1340100,100
1383827,827
172527,527
122703,703
1163433,433
320065,65
2235549,549
1061373,373
934659,659
893369,369
32453,453
2335525,525
2071913,913
1270666,666
2013023,23
169044,44
1819501,501
474889,889
1564544,544
2380242,242
1045716,716
1189347,347
1436747,747
289792,792
1333000,0
1975326,326
346613,613
1811753,753
1078292,292
1945819,819
322849,849
57383,383
1353196,196
1119963,963
726529,529
1128502,502
496228,228
328497,497
212177,177
1641716,716
458057,57
264045,45
904294,294
1958232,232
2493048,48
1994625,625
1826330,330
807025,25
1475036,36
2148587,587
2137936,936
583878,878
1502902,902
1636762,762
1232466,466
432767,767
132455,455
1583558,558
399759,759
1782075,75
2096960,960
451043,43
944717,717
2253128,128
1335052,52
92075,75
274208,208
670264,264
1426469,469
1461484,484
2393357,357
945786,786
2396766,766
2360772,772
2483718,718
382923,923
1519935,935
1187610,610
1055482,482
564305,305
903692,692
2327942,942
190928,928
1426311,311
14035,35
950174,174
1427547,547
871906,906
245602,602
475188,188
810554,554
1725244,244
2051027,27
1365576,576
845854,854
1460760,760
657092,92
2237487,487
1848909,909
727116,116
2047689,689
604324,324
1889400,400
866836,836
2107403,403
2419222,222
1278062,62
1246856,856
2436417,417
780218,218
104270,270
2098881,881
730180,180
2112579,579
1630188,188
2154085,85
2397419,419
1999109,109
1727658,658
380129,129
2090355,355
734217,217
1223932,932
1936604,604
406939,939
1213944,944
2330796,796
2382413,413
1346818,818
931497,497
1513629,629
1185791,791
1396867,867
1708300,300
33088,88
1758466,466
2360173,173
2258988,988
1546492,492
2127537,537
1491836,836
921482,482
878656,656
400033,33
1298564,564
2403241,241
1126040,40
819479,479
280972,972
1059778,778
1848516,516
1224443,443
1809295,295
693242,242
1016194,194
1762685,685
2352212,212
2392509,509
913569,569
1788078,78
2473292,292
1374968,968
1114999,999
297568,568
1949413,413
1032302,302
1383011,11
1190516,516
1516726,726
723392,392
1477323,323
2191442,442
1386126,126
920427,427
1061539,539
1253087,87
1887125,125
786030,30
1944756,756
375978,978
708206,206
394900,900
1128748,748
243730,730
1273084,84
1982789,789
2020034,34
979218,218
1773210,210
864507,507
1998130,130
370778,778
146612,612
741006,6
2412130,130
305373,373
1521618,618
1645615,615
1015037,37
934047,47
2463293,293
1954595,595
1122788,788
843703,703
2392462,462
2202225,225
1614138,138
1388819,819
1301528,528
1570091,91
1580467,467
1101983,983
2440492,492
1878498,498
2118536,536
1815700,700
2386835,835
12975,975
2431594,594
672979,979
498864,864
148193,193
1618994,994
587756,756
1661972,972
1643069,69
2314631,631
125678,678
2284922,922
624220,220
1761349,349
2057136,136
2281620,620
73651,651
187600,600
1173558,558
1031411,411
881875,875
578736,736
278970,970
579939,939
1817712,712
470631,631
2163539,539
856991,991
2384954,954
438603,603
943779,779
1812106,106
1732862,862
70573,573
1916694,694
228700,700
1543306,306
833056,56
1786937,937
1371469,469
548052,52
160856,856
87217,217
46393,393
499246,246
1589118,118
340365,365
1843270,270
1445253,253
2478140,140
2077077,77
2331219,219
1024791,791
896367,367
703321,321
2108108,108
363347,347
1080465,465
250071,71
412516,516
260132,132
204242,242
2179677,677
689785,785
907120,120
680505,505
720541,541
697789,789
1045591,591
1901406,406
597459,459
1942380,380
1301177,177
332236,236
2291012,12
317418,418
2132398,398
741216,216
792029,29
680146,146
331827,827
242867,867
1111260,260
730726,726
1151410,410
1096894,894
1620583,583
246444,444
1292814,814
100876,876
709645,645
1084965,965
155660,660
2166597,597
862293,293
1771864,864
874546,546
2205044,44
2301753,753
814812,812
1702221,221
1891532,532
2197453,453
1658903,903
2056692,692
516704,704
983561,561
873461,461
1792986,986
1880600,600
727537,537
1856549,549
1213281,281
1432723,723
1449045,45
1224651,651
640669,669
1395815,815
711234,234
2350775,775
756438,438
1681784,784
1552411,411
2123306,306
157874,874
775610,610
1465696,696
2283381,381
1737257,257
2239785,785
1548544,544
330932,932
1802856,856
1283000,0
346499,499
1259878,878
530888,888
1340072,72
2274431,431
2308792,792
1066008,8
741087,87
2266553,553
1356680,680
101990,990
15729,729
2385579,579
173462,462
2234368,368
1612040,40
120563,563
8051,51
446802,802
1781173,173
1555572,572
730582,582
694110,110
2441304,304
2497384,384
1284457,457
1026864,864
851237,237
1858440,440
2004706,706
489643,643
187623,623
244054,54
1960325,325
1329988,988
1256477,477
1842959,959
68975,975
239680,680
830737,737
176939,939
395400,400
700073,73
1036343,343
2425437,437
142212,212
317199,199
529158,158
1022911,911
2029908,908
474121,121
209564,564
2264276,276
631769,769
2162543,543
2209681,681
1481880,880
528563,563
1162562,562
120184,184
1732982,982
521614,614
1136179,179
529622,622
1480430,430
1971465,465
228941,941
2012857,857
1661952,952
736717,717
931562,562
912735,735
2146528,528
27123,123
1989689,689
1096566,566
2135873,873
1048774,774
1553202,202
2230196,196
568599,599
1596199,199
9018,18
2140265,265
546937,937
1106175,175
1984976,976
1761380,380
2171424,424
1849791,791
2066485,485
785,785
1140335,335
670739,739
1543570,570
1758515,515
908387,387
1362253,253
1859100,100
1429082,82
51538,538
1468360,360
320073,73
2339963,963
1473568,568
1869463,463
753260,260
2134279,279
550258,258
1836917,917
1444459,459
1015675,675
565981,981
816012,12
1680020,20
513316,316
1633142,142
1020815,815
1728806,806
1004570,570
2094075,75
1231242,242
2321128,128
1412317,317
873661,661
2486844,844
2210643,643
175973,973
458247,247
180102,102
1879611,611
2302296,296
1824094,94
590651,651
1151988,988
2358373,373
883076,76
1583151,151
1681935,935
2422370,370
1762821,821
267637,637
69046,46
2187941,941
967167,167
747146,146
2234711,711
147567,567
554533,533
169769,769
723524,524
535120,120
636871,871
741491,491
776719,719
908238,238
1336499,499
1385195,195
1434766,766
2258297,297
646187,187
47020,20
2366074,74
236033,33
162570,570
1934355,355
29581,581
508780,780
2381709,709
1346678,678
542736,736
1363346,346
1068448,448
1172839,839
2159381,381
987200,200
774690,690
2087516,516
2090482,482
2009640,640
464905,905
2194395,395
194479,479
1920249,249
1613980,980
2312082,82
2198653,653
766090,90
2235717,717
1969285,285
1423185,185
1783572,572
2366716,716
999119,119
643842,842
217706,706
2047559,559
1316812,812
770234,234
2245180,180
2306557,557
2252947,947
1960300,300
954851,851
2323998,998
800677,677
502626,626
688016,16
1552915,915
1775971,971
1882257,257
2384425,425
1580521,521
632921,921
19696,696
1974316,316
155932,932
168379,379
754725,725
1935617,617
1645436,436
1380625,625
441632,632
475212,212
734109,109
598525,525
806124,124
1264303,303
1703613,613
1736751,751
2363662,662
1297836,836
1190999,999
1115414,414
1276845,845
960888,888
61035,35
1656748,748
2224903,903
1474644,644
2006011,11
2443202,202
2400018,18
744618,618
512904,904
2124877,877
2452304,304
1956143,143
1640710,710
1822501,501
970690,690
122145,145
1056048,48
72865,865
1920663,663
2457094,94
425796,796
765948,948
815933,933
431496,496
2244396,396
1469866,866
286673,673
1122105,105
2455607,607
1225928,928
1426657,657
1987791,791
392411,411
2364030,30
644507,507
522846,846
451989,989
341855,855
457772,772
492666,666
2040528,528
1002476,476
2426188,188
2010799,799
458892,892
1576519,519
2269290,290
1722929,929
1421740,740
80513,513
1741816,816
2004973,973
628721,721
303301,301
769015,15
1278177,177
161279,279
953462,462
651216,216
434915,915
1402060,60
937006,6
886596,596
2163816,816
934649,649
2204057,57
2407103,103
166805,805
656049,49
497855,855
909457,457
1784008,8
205245,245
724466,466
2366941,941
1358515,515
1693328,328
2267908,908
245268,268
953508,508
1281211,211
19999,999
2444712,712
1420601,601
741777,777
965936,936
